TippID;UrlKurzText;Latitude;Longitude
1;Papstsessel;48 812 006;15 373 910
2;Marmormuseum;47 696 620;13 131 840
3;Skigebiet Gaissau-Hintersee;47 702 700;13 216 390
4;Tauglbachweg;47 656 121;13 127 021
5;Salzwelten - Cleverix;47 667 560;13 089 890
6;Ruine Hieburg;47 246 160;12 228 220
7;Montanmuseum Böckstein;47 088 150;13 114 110
8;Snowtubing in Faistenau;47 780 300;13 226 030
9;WasserWunderWelt Krimml;47 216 297;12 172 688
10;WasserWunderWelt Krimml;47 681 590;13 092 710
11;Krimmler Wasserfälle;47 222 100;12 175 420
12;Spielplatz in Wald im Pinzgau;47 242 330;12 210 560
13;inzgauer Planetarium;47 248 100;12 115 500
14;Kristallbad in Wald / Pinzgau;47 246 470;12 228 310
15;Die alte Mühle in Wald im Pinzgau;47 242 510;12 208 600
16;Planetenweg in Wald - Königsleiten;47 248 100;12 115 500
17;Planetarium Königsleiten;47 248 100;12 115 500
18;"Natura Trail - Blausee	";47 226 800;12 246 970
19;Salzwelten Hallein / Bad Dürrnberg;47 667 560;13 089 890
20;Gletscherlehrweg Obersulzbachtal;47 237 990;12 254 180
21;Naturbadesee am Großvenediger;47 253 200;12 284 710
22;Zwölferhorn ;47 765 430;13 364 270
23;Friedburger Puppenbühne;47 801 230;13 045 760
24;Knappenweg ins Untersulzbachtal;47 237 990;12 254 180
25;Schaubergwerk Hochfeld;47 237 990;12 254 180
26;Schaubergwerk Hochfeld;47 247 760;12 254 360
27;Skigebiet Wildkogel;47 254 130;12 280 850
28;Wildkogel Rodelbahn;47 254 130;12 280 850
29;Hochseil-Klettergarten Wildkogel;47 249 590;12 276 970
30;Salzburger Wollstadel in Bramberg;47 270 310;12 338 300
31;Museum Bramberg;47 270 310;12 338 300
32;Smaragdweg ;47 246 490;12 321 020
33;Hollersbach Bachlehrweg;47 267 355;12 413 913
34;Kräutergarten Hollersbach;47 275 240;12 419 930
35;Freizeitanlage â€žHollideeâ€œ ;47 276 542;12 414 729
36;Bienenlehrpfad ;47 289 610;12 410 220
37;Nationalparkzentrum Mittersill;47 278 880;12 478 140
39;Hintersee in Mittersill;47 194 546;12 475 904
40;Felberturmmuseum Mittersill;47 277 780;12 491 910
41;Hallenbad Mittersill;47 277 730;12 482 880
42;Freibad Mittersill;47 281 910;12 489 160
43;Naturlehrweg Hintersee;47 194 546;12 475 904
44;Moor- Erlebnis Wasenmoos;47 284 830;12 479 940
45;Erlebnis-Freibad Stuhlfelden;47 289 830;12 533 410
46;Stuhlfelden Bogendorf ;47 288 380;12 528 650
47;Uttendorfer Badesee;47 282 150;12 575 840
48;Schmetterlingslehrweg Uttendorf;47 284 270;12 572 890
49;Keltendorf in Uttendorf;47 289 321;12 570 915
50;Uttendorf Gletscherwelt Weißsee ;47 169 680;12 624 560
51;Badesee Niedernsill;47 278 550;12 644 870
52;Spielplatz Niedernsiller Badesee;47 278 550;12 644 870
53;Sommerprogramm Niedernsill;47 279 840;12 648 680
54;Sommerprogramm Piesendorf;47 287 406;12 715 322
55;Hinkelsteinbad in Piesendorf;47 287 289;12 715 065
56;Funpark in Piesendorf;47 287 289;12 715 065
57;Hochgebirgsstauseen in Kaprun;47 217 430;12 725 910
58;Sigmund-Thun-Klamm in Kaprun;47 260 760;12 739 850
59;Sigmund-Thun-Klamm in Kaprun;47 272 470;12 755 730
62;Alpin Coaster Maisiflitzer;47 273 880;12 757 300
60;;47 284 170;12 753 830
61;;47 260 760;12 739 850
63;Skigebiet Maiskogel;47 273 880;12 757 300
64;Freizeitpark  Maiskogelbahn;47 273 880;12 757 300
65;TAUERN SPA Zell am See - Kaprun ;47 282 884;12 755 985
66;;47 321 048;12 797 205
67;;47 325 474;12 800 381
68;;47 306 240;12 798 750
69;;47 320 510;12 796 570
70;;47 320 510;12 796 570
71;;47 320 820;12 797 850
72;;47 326 320;12 773 380
73;;47 299 973;12 789 613
